Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility_Percentage,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDN01,8.895,Low Fat,0.07,Breakfast,176.24,OUT045,2002,,Tier 2,Supermarket Type1,1764.37
NCR54,16.35,Low Fat,0.09,Household,195.21,OUT013,1987,High,Tier 3,Supermarket Type1,2553.34
FDG29,17.6,Low Fat,0.06,Frozen Foods,43.35,OUT013,1987,High,Tier 3,Supermarket Type1,1006.69
FDG24,7.975,Low Fat,0.02,Baking Goods,85.23,OUT013,1987,High,Tier 3,Supermarket Type1,1081.93
FDG59,15.85,Low Fat,0.04,Starchy Foods,36.72,OUT017,2007,,Tier 2,Supermarket Type1,308.93
FDM28,15.7,Low Fat,0.05,Frozen Foods,178.67,OUT013,1987,High,Tier 3,Supermarket Type1,2516.72
FDW04,8.985,Regular,0.06,Frozen Foods,128.83,OUT046,1997,Small,Tier 1,Supermarket Type1,1428.14
FDS26,20.35,Low Fat,0.09,Dairy,260.16,OUT013,1987,High,Tier 3,Supermarket Type1,2093.28
FDQ56,6.59,Low Fat,0.11,Fruits and Vegetables,85.69,OUT013,1987,High,Tier 3,Supermarket Type1,1929.49
FDK51,19.85,Low Fat,0.01,Dairy,264.09,OUT035,2004,Small,Tier 2,Supermarket Type1,5829.74
FDL22,16.85,Low Fat,0.04,Snack Foods,91.45,OUT046,1997,Small,Tier 1,Supermarket Type1,2082.62
FDY55,16.75,Low Fat,0.08,Fruits and Vegetables,256.5,OUT013,1987,High,Tier 3,Supermarket Type1,7452.97
FDZ10,,Low Fat,0.04,Snack Foods,126.2,OUT027,1985,Medium,Tier 3,Supermarket Type3,3668.56
FDZ32,7.785,Regular,0.04,Fruits and Vegetables,103.2,OUT018,2009,Medium,Tier 3,Supermarket Type2,736.37
NCF07,,Low Fat,0.03,Household,101,OUT027,1985,Medium,Tier 3,Supermarket Type3,2125.23
DRE49,20.75,Low Fat,0.02,Soft Drinks,153,OUT017,2007,,Tier 2,Supermarket Type1,2277.04
FDJ08,,Low Fat,0.19,Fruits and Vegetables,190.38,OUT019,1985,Small,Tier 1,Grocery Store,573.25
FDT39,6.26,Regular,0.01,Meat,151.14,OUT035,2004,Small,Tier 2,Supermarket Type1,2267.05
FDE08,18.2,Low Fat,0.08,Fruits and Vegetables,147.37,OUT010,1998,,Tier 3,Grocery Store,296.95
FDB57,20.25,Regular,0.02,Fruits and Vegetables,222.18,OUT035,2004,Small,Tier 2,Supermarket Type1,5559.43
NCT54,8.695,Low Fat,0.12,Household,95.51,OUT049,1999,Medium,Tier 1,Supermarket Type1,1237.72
FDM25,,Regular,0.06,Breakfast,174.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,3866.97
FDF20,12.85,low fat,0.03,Fruits and Vegetables,198.48,OUT045,2002,,Tier 2,Supermarket Type1,1379.54
FDH27,7.075,Low Fat,0.06,Dairy,142.71,OUT018,2009,Medium,Tier 3,Supermarket Type2,1869.57
FDV60,,Regular,0.12,Baking Goods,196.21,OUT027,1985,Medium,Tier 3,Supermarket Type3,5499.51
FDY59,8.195,Low Fat,0.03,Baking Goods,94.35,OUT049,1999,Medium,Tier 1,Supermarket Type1,925.46
FDK36,7.09,Low Fat,0.01,Baking Goods,47.9,OUT035,2004,Small,Tier 2,Supermarket Type1,583.24
NCM31,6.095,Low Fat,0.08,Others,141.42,OUT046,1997,Small,Tier 1,Supermarket Type1,1418.15
FDE33,19.35,Regular,0.05,Fruits and Vegetables,80.26,OUT017,2007,,Tier 2,Supermarket Type1,942.77
FDU36,6.15,Low Fat,0.05,Baking Goods,99.34,OUT046,1997,Small,Tier 1,Supermarket Type1,2364.92
FDV13,,Regular,0.03,Canned,87.99,OUT027,1985,Medium,Tier 3,Supermarket Type3,3251.77
NCQ54,17.7,Low Fat,0.01,Household,167.05,OUT035,2004,Small,Tier 2,Supermarket Type1,5895.66
DRP47,15.75,Low Fat,0.14,Hard Drinks,250.54,OUT017,2007,,Tier 2,Supermarket Type1,2775.72
FDB21,7.475,Low Fat,0.15,Fruits and Vegetables,241.29,OUT045,2002,,Tier 2,Supermarket Type1,5317.08
FDR04,7.075,Low Fat,0,Frozen Foods,98.01,OUT018,2009,Medium,Tier 3,Supermarket Type2,874.86
FDX23,6.445,Low Fat,0.03,Baking Goods,92.64,OUT046,1997,Small,Tier 1,Supermarket Type1,1039.98
FDX19,19.1,Low Fat,0.1,Fruits and Vegetables,235.1,OUT035,2004,Small,Tier 2,Supermarket Type1,3038.05
FDD40,20.25,Regular,0.02,Dairy,193.62,OUT035,2004,Small,Tier 2,Supermarket Type1,3848.32
FDA01,15,Regular,0.05,Canned,59.19,OUT046,1997,Small,Tier 1,Supermarket Type1,527.31
FDS33,6.67,Regular,0.12,Snack Foods,89.15,OUT046,1997,Small,Tier 1,Supermarket Type1,2390.89
FDM50,,Regular,0.03,Canned,60.22,OUT027,1985,Medium,Tier 3,Supermarket Type3,1677.82
FDB29,16.7,Regular,0.05,Frozen Foods,112.72,OUT013,1987,High,Tier 3,Supermarket Type1,801.62
FDF46,7.07,Low Fat,0.09,Snack Foods,115.58,OUT045,2002,,Tier 2,Supermarket Type1,1267.02
FDA33,6.48,Low Fat,0.03,Snack Foods,148.01,OUT045,2002,,Tier 2,Supermarket Type1,886.85
FDC08,19,Regular,0.17,Fruits and Vegetables,228.27,OUT010,1998,,Tier 3,Grocery Store,452.74
FDB53,13.35,Low Fat,0.14,Frozen Foods,147.54,OUT045,2002,,Tier 2,Supermarket Type1,3877.62
FDY31,,Low Fat,0.04,Fruits and Vegetables,146.64,OUT027,1985,Medium,Tier 3,Supermarket Type3,4414.25
DRQ35,,Low Fat,0.04,Hard Drinks,122.44,OUT027,1985,Medium,Tier 3,Supermarket Type3,5448.91
FDX36,9.695,Regular,0.13,Baking Goods,223.94,OUT049,1999,Medium,Tier 1,Supermarket Type1,4950.89
DRD13,15,Low Fat,0.05,Soft Drinks,62.62,OUT017,2007,,Tier 2,Supermarket Type1,958.75
FDC52,11.15,Regular,0.01,Dairy,149.97,OUT017,2007,,Tier 2,Supermarket Type1,1956.12
FDB45,20.85,Low Fat,0.02,Fruits and Vegetables,103.23,OUT049,1999,Medium,Tier 1,Supermarket Type1,2404.2
NCK19,9.8,Low Fat,0.15,Others,194.35,OUT010,1998,,Tier 3,Grocery Store,387.5
FDV51,16.35,Low Fat,0.03,Meat,165.08,OUT013,1987,High,Tier 3,Supermarket Type1,994.71
FDZ35,9.6,Regular,0.02,Breads,101.3,OUT045,2002,,Tier 2,Supermarket Type1,1754.38
NCW17,,Low Fat,0.02,Health and Hygiene,130,OUT027,1985,Medium,Tier 3,Supermarket Type3,3340.98
FDV59,13.35,Low Fat,0.05,Breads,216.72,OUT045,2002,,Tier 2,Supermarket Type1,3918.9
DRH39,20.7,Low Fat,0.09,Dairy,76.37,OUT013,1987,High,Tier 3,Supermarket Type1,306.27
FDN60,,Low Fat,0.1,Baking Goods,158.46,OUT027,1985,Medium,Tier 3,Supermarket Type3,4278.43
FDU55,16.2,Low Fat,0.04,Fruits and Vegetables,260.63,OUT045,2002,,Tier 2,Supermarket Type1,4425.57
FDN58,,Regular,0.06,Snack Foods,231,OUT027,1985,Medium,Tier 3,Supermarket Type3,9267.94
FDC41,,Low Fat,0.21,Frozen Foods,76.87,OUT019,1985,Small,Tier 1,Grocery Store,229.7
FDO01,,Regular,0.02,Breakfast,129.4,OUT027,1985,Medium,Tier 3,Supermarket Type3,2055.99
NCO43,5.5,Low Fat,0.05,Others,101.3,OUT046,1997,Small,Tier 1,Supermarket Type1,3339.65
FDQ07,15.1,Regular,0.09,Fruits and Vegetables,221.75,OUT045,2002,,Tier 2,Supermarket Type1,6410.32
FDF28,15.7,Regular,0.04,Frozen Foods,122.9,OUT017,2007,,Tier 2,Supermarket Type1,1992.07
FDM01,7.895,Regular,0.1,Breakfast,104.43,OUT017,2007,,Tier 2,Supermarket Type1,2870.93
FDY49,,Regular,0.01,Canned,164.52,OUT027,1985,Medium,Tier 3,Supermarket Type3,2807.01
FDR24,17.35,Regular,0.06,Baking Goods,88.18,OUT013,1987,High,Tier 3,Supermarket Type1,539.3
NCY18,7.285,Low Fat,0.03,Household,174.31,OUT013,1987,High,Tier 3,Supermarket Type1,4377.64
NCY30,20.25,Low Fat,0.03,Household,181,OUT045,2002,,Tier 2,Supermarket Type1,2716.46
FDJ22,,Low Fat,0.09,Snack Foods,190.95,OUT019,1985,Small,Tier 1,Grocery Store,383.5
DRI37,15.85,Low Fat,0.11,Soft Drinks,59.59,OUT049,1999,Medium,Tier 1,Supermarket Type1,703.08
FDL27,6.17,Low Fat,0.01,Meat,66.38,OUT049,1999,Medium,Tier 1,Supermarket Type1,1937.48
NCO30,19.5,Low Fat,0.02,Household,182.26,OUT049,1999,Medium,Tier 1,Supermarket Type1,3307.69
NCB07,19.2,Low Fat,0.08,Household,197.61,OUT049,1999,Medium,Tier 1,Supermarket Type1,3142.58
FDP59,20.85,Regular,0.06,Breads,104.06,OUT018,2009,Medium,Tier 3,Supermarket Type2,1869.57
FDR59,14.5,Regular,0.06,Breads,260.46,OUT045,2002,,Tier 2,Supermarket Type1,5494.85
FDT27,11.395,Regular,0.07,Meat,233.16,OUT013,1987,High,Tier 3,Supermarket Type1,6093.4
DRI01,7.97,Low Fat,0.03,Soft Drinks,174.04,OUT046,1997,Small,Tier 1,Supermarket Type1,2586.63
FDU09,7.71,Regular,0.07,Snack Foods,55.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,1255.7
FDH26,19.25,Regular,0.04,Canned,141.75,OUT046,1997,Small,Tier 1,Supermarket Type1,4093.34
FDN39,,Regular,0.07,Meat,166.08,OUT027,1985,Medium,Tier 3,Supermarket Type3,5033.45
FDH40,11.6,Regular,0.08,Frozen Foods,79.93,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.19
FDJ56,,Low Fat,0.18,Fruits and Vegetables,98.77,OUT027,1985,Medium,Tier 3,Supermarket Type3,2696.49
DRN47,12.1,Low Fat,0.02,Hard Drinks,178.57,OUT018,2009,Medium,Tier 3,Supermarket Type2,898.83
FDX60,14.35,Low Fat,0.08,Baking Goods,81.9,OUT045,2002,,Tier 2,Supermarket Type1,878.86
FDT22,10.395,Low Fat,0.11,Snack Foods,58.22,OUT049,1999,Medium,Tier 1,Supermarket Type1,659.14
FDX26,,Low Fat,0.15,Dairy,182.63,OUT019,1985,Small,Tier 1,Grocery Store,182.43
FDG45,8.1,Low Fat,0.13,Fruits and Vegetables,211.49,OUT013,1987,High,Tier 3,Supermarket Type1,3610.63
FDD44,8.05,Regular,0.08,Fruits and Vegetables,256.46,OUT035,2004,Small,Tier 2,Supermarket Type1,5153.29
FDS15,9.195,Regular,0.08,Meat,108.76,OUT017,2007,,Tier 2,Supermarket Type1,2588.63
FDL51,20.7,Regular,0.05,Dairy,212.59,OUT018,2009,Medium,Tier 3,Supermarket Type2,1286.33
FDL32,15.7,Regular,0.12,Fruits and Vegetables,110.15,OUT017,2007,,Tier 2,Supermarket Type1,1230.4
FDZ07,,Regular,0,Fruits and Vegetables,60.22,OUT027,1985,Medium,Tier 3,Supermarket Type3,1733.74
NCW53,,Low Fat,0.05,Health and Hygiene,193.82,OUT019,1985,Small,Tier 1,Grocery Store,384.83
NCA54,16.5,Low Fat,0.04,Household,180.03,OUT045,2002,,Tier 2,Supermarket Type1,3969.5
FDX09,9,Low Fat,0.07,Snack Foods,176.44,OUT035,2004,Small,Tier 2,Supermarket Type1,7763.23
FDO51,6.785,Regular,0.04,Meat,41.21,OUT013,1987,High,Tier 3,Supermarket Type1,809.61
FDW49,19.5,Low Fat,0.08,Canned,178.6,OUT018,2009,Medium,Tier 3,Supermarket Type2,1253.7
FDB27,7.575,Low Fat,0.06,Dairy,195.28,OUT046,1997,Small,Tier 1,Supermarket Type1,5715.23
FDF45,18.2,Regular,0.01,Fruits and Vegetables,57.79,OUT013,1987,High,Tier 3,Supermarket Type1,1464.76
FDV02,16.75,Low Fat,0.06,Dairy,169.81,OUT013,1987,High,Tier 3,Supermarket Type1,3251.1
FDY28,7.47,Regular,0,Frozen Foods,214.32,OUT035,2004,Small,Tier 2,Supermarket Type1,4274.44
FDX31,,Regular,0.02,Fruits and Vegetables,231.8,OUT027,1985,Medium,Tier 3,Supermarket Type3,5375
FDR43,,Low Fat,0.16,Fruits and Vegetables,38.02,OUT027,1985,Medium,Tier 3,Supermarket Type3,1318.28
FDP51,13.85,Regular,0.09,Meat,119.41,OUT018,2009,Medium,Tier 3,Supermarket Type2,2251.74
FDL52,6.635,Regular,0.05,Frozen Foods,37.45,OUT017,2007,,Tier 2,Supermarket Type1,1176.47
FDC50,15.85,Low Fat,0,Canned,96.41,OUT035,2004,Small,Tier 2,Supermarket Type1,1237.72
FDT57,15.2,Low Fat,0.03,Snack Foods,235.12,OUT010,1998,,Tier 3,Grocery Store,474.05
FDP22,,Regular,0,Snack Foods,52.67,OUT027,1985,Medium,Tier 3,Supermarket Type3,717.73
FDY32,7.605,Low Fat,0.13,Fruits and Vegetables,164.02,OUT045,2002,,Tier 2,Supermarket Type1,3914.9
FDW07,18,Regular,0.14,Fruits and Vegetables,88.55,OUT046,1997,Small,Tier 1,Supermarket Type1,796.96
NCF18,18.35,Low Fat,0.09,Household,191.35,OUT045,2002,,Tier 2,Supermarket Type1,3259.76
FDG35,21.2,Regular,0.01,Starchy Foods,173.57,OUT046,1997,Small,Tier 1,Supermarket Type1,2954.15
FDY34,10.5,Regular,0.01,Snack Foods,166.48,OUT018,2009,Medium,Tier 3,Supermarket Type2,2652.55
NCE19,8.97,Low Fat,0.09,Household,52.8,OUT045,2002,,Tier 2,Supermarket Type1,1037.32
NCK31,,Low Fat,0.03,Others,50.97,OUT027,1985,Medium,Tier 3,Supermarket Type3,717.73
NCJ29,10.6,Low Fat,0.04,Health and Hygiene,86.12,OUT045,2002,,Tier 2,Supermarket Type1,426.11
FDT59,13.65,Low Fat,0.02,Breads,231.17,OUT035,2004,Small,Tier 2,Supermarket Type1,6911
NCX41,19,Low Fat,0.02,Health and Hygiene,211.02,OUT046,1997,Small,Tier 1,Supermarket Type1,3811.04
FDU45,,Regular,0.04,Snack Foods,115.35,OUT027,1985,Medium,Tier 3,Supermarket Type3,2277.04
FDW24,,Low Fat,0.07,Baking Goods,48.9,OUT019,1985,Small,Tier 1,Grocery Store,48.6
FDF22,6.865,Low Fat,0.06,Snack Foods,212.82,OUT049,1999,Medium,Tier 1,Supermarket Type1,5770.49
FDM60,10.8,Regular,0.05,Baking Goods,40.21,OUT046,1997,Small,Tier 1,Supermarket Type1,690.43
FDR02,16.7,Low Fat,0.02,Dairy,110.29,OUT013,1987,High,Tier 3,Supermarket Type1,1890.21
DRP35,,Low Fat,0.09,Hard Drinks,126.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,3195.84
FDS48,15.15,Low Fat,0.03,Baking Goods,150.17,OUT046,1997,Small,Tier 1,Supermarket Type1,1504.71
NCZ42,10.5,Low Fat,0,Household,238.32,OUT010,1998,,Tier 3,Grocery Store,711.07
FDZ38,17.6,Low Fat,0.01,Dairy,174.24,OUT018,2009,Medium,Tier 3,Supermarket Type2,4311.06
NCB55,15.7,Low Fat,0.16,Household,59.46,OUT046,1997,Small,Tier 1,Supermarket Type1,829.59
FDC15,18.1,Low Fat,0.18,Dairy,155.53,OUT017,2007,,Tier 2,Supermarket Type1,1571.29
FDF11,10.195,Regular,0.02,Starchy Foods,239.65,OUT035,2004,Small,Tier 2,Supermarket Type1,2403.54
FDW35,,low fat,0.02,Breads,41.65,OUT019,1985,Small,Tier 1,Grocery Store,83.89
FDB44,6.655,Low Fat,0.02,Fruits and Vegetables,211.06,OUT045,2002,,Tier 2,Supermarket Type1,844.23
NCC06,19,Low Fat,0.03,Household,127.33,OUT017,2007,,Tier 2,Supermarket Type1,2940.17
FDB17,13.15,Low Fat,0.04,Frozen Foods,181.3,OUT045,2002,,Tier 2,Supermarket Type1,3259.76
FDW43,20.1,Regular,0.02,Fruits and Vegetables,226.8,OUT049,1999,Medium,Tier 1,Supermarket Type1,3415.55
FDA27,20.35,Regular,0,Dairy,256.77,OUT018,2009,Medium,Tier 3,Supermarket Type2,5624.68
FDN32,17.5,Low Fat,0.02,Fruits and Vegetables,182.63,OUT018,2009,Medium,Tier 3,Supermarket Type2,3135.25
FDZ27,7.935,Low Fat,0.02,Dairy,51.54,OUT045,2002,,Tier 2,Supermarket Type1,848.9
FDW23,,Low Fat,0.14,Baking Goods,37.32,OUT019,1985,Small,Tier 1,Grocery Store,38.62
FDU01,20.25,Regular,0.01,Canned,184.59,OUT046,1997,Small,Tier 1,Supermarket Type1,4997.49
FDF10,15.5,Regular,0.16,Snack Foods,149.14,OUT049,1999,Medium,Tier 1,Supermarket Type1,588.57
DRH03,,Low Fat,0.06,Dairy,91.81,OUT019,1985,Small,Tier 1,Grocery Store,372.85
FDW27,,Regular,0.26,Meat,155.73,OUT019,1985,Small,Tier 1,Grocery Store,155.13
DRI13,15.35,Low Fat,0.02,Soft Drinks,218.05,OUT013,1987,High,Tier 3,Supermarket Type1,3038.71
NCR05,10.1,Low Fat,0.06,Health and Hygiene,200.21,OUT046,1997,Small,Tier 1,Supermarket Type1,1587.27
FDI35,14,Low Fat,0.04,Starchy Foods,180.76,OUT046,1997,Small,Tier 1,Supermarket Type1,2181.16
FDX08,12.85,Low Fat,0.02,Fruits and Vegetables,181.43,OUT046,1997,Small,Tier 1,Supermarket Type1,3428.2
NCJ18,12.35,Low Fat,0.16,Household,120.51,OUT049,1999,Medium,Tier 1,Supermarket Type1,2133.22
FDJ41,6.85,Low Fat,0.02,Frozen Foods,261.66,OUT018,2009,Medium,Tier 3,Supermarket Type2,3401.57
FDU08,10.3,Low Fat,0.03,Fruits and Vegetables,101,OUT035,2004,Small,Tier 2,Supermarket Type1,1289.65
FDS09,,Regular,0.14,Snack Foods,49.6,OUT019,1985,Small,Tier 1,Grocery Store,50.6
DRH15,8.775,Low Fat,0,Dairy,45.94,OUT013,1987,High,Tier 3,Supermarket Type1,790.97
NCV17,18.85,Low Fat,0.02,Health and Hygiene,129.26,OUT017,2007,,Tier 2,Supermarket Type1,3147.9
NCO54,,Low Fat,0.01,Household,56.76,OUT027,1985,Medium,Tier 3,Supermarket Type3,2486.76
FDE24,14.85,Low Fat,0.09,Baking Goods,141.08,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.85
FDH53,20.5,Regular,0.02,Frozen Foods,84.36,OUT046,1997,Small,Tier 1,Supermarket Type1,1816.3
FDZ13,7.84,Regular,0.15,Canned,51.94,OUT018,2009,Medium,Tier 3,Supermarket Type2,199.74
FDW28,18.25,Low Fat,0.09,Frozen Foods,196.75,OUT045,2002,,Tier 2,Supermarket Type1,978.73
FDU46,10.3,Regular,0.01,Snack Foods,85.85,OUT013,1987,High,Tier 3,Supermarket Type1,2683.17
NCE43,12.5,Low Fat,0.1,Household,169.94,OUT035,2004,Small,Tier 2,Supermarket Type1,2897.56
NCC42,15,Low Fat,0.05,Health and Hygiene,140.38,OUT013,1987,High,Tier 3,Supermarket Type1,2528.71
FDQ20,8.325,Low Fat,0.03,Fruits and Vegetables,38.71,OUT013,1987,High,Tier 3,Supermarket Type1,284.3
FDA13,15.85,Low Fat,0.08,Canned,38.65,OUT017,2007,,Tier 2,Supermarket Type1,759.01
FDZ15,13.1,Low Fat,0.02,Dairy,117.38,OUT046,1997,Small,Tier 1,Supermarket Type1,1787.67
NCV42,6.26,Low Fat,0.03,Household,111.32,OUT017,2007,,Tier 2,Supermarket Type1,2431.5
DRI51,17.25,Low Fat,0.04,Dairy,173.18,OUT018,2009,Medium,Tier 3,Supermarket Type2,4466.19
FDO28,5.765,Low Fat,0.07,Frozen Foods,119.91,OUT035,2004,Small,Tier 2,Supermarket Type1,2048.67
NCS54,13.6,Low Fat,0.01,Household,175.44,OUT013,1987,High,Tier 3,Supermarket Type1,1940.81
FDH16,10.5,Low Fat,0.05,Frozen Foods,88.78,OUT017,2007,,Tier 2,Supermarket Type1,2067.31
FDR52,12.65,Regular,0.08,Frozen Foods,192.18,OUT018,2009,Medium,Tier 3,Supermarket Type2,1146.51
NCH06,12.3,Low Fat,0.08,Household,247.85,OUT045,2002,,Tier 2,Supermarket Type1,3448.84
FDA36,5.985,Low Fat,0.01,Baking Goods,184.89,OUT045,2002,,Tier 2,Supermarket Type1,1665.83
FDU56,,Low Fat,0,Fruits and Vegetables,184.73,OUT027,1985,Medium,Tier 3,Supermarket Type3,8114.77
FDT09,15.15,Regular,0.01,Snack Foods,132.53,OUT049,1999,Medium,Tier 1,Supermarket Type1,1713.77
FDU25,12.35,Low Fat,0.03,Canned,56.42,OUT046,1997,Small,Tier 1,Supermarket Type1,810.94
FDK41,14.3,Low Fat,0.13,Frozen Foods,84.92,OUT046,1997,Small,Tier 1,Supermarket Type1,1193.11
FDM24,6.135,Regular,0,Baking Goods,151.34,OUT045,2002,,Tier 2,Supermarket Type1,1057.96
FDQ45,9.5,Regular,0.01,Snack Foods,182.36,OUT013,1987,High,Tier 3,Supermarket Type1,2940.17
DRK59,8.895,Low Fat,0.08,Hard Drinks,235.86,OUT035,2004,Small,Tier 2,Supermarket Type1,3046.7
FDR21,19.7,Low Fat,0.07,Snack Foods,174.84,OUT035,2004,Small,Tier 2,Supermarket Type1,2999.43
FDT44,16.6,Low Fat,0.1,Fruits and Vegetables,117.85,OUT045,2002,,Tier 2,Supermarket Type1,942.77
FDX14,,Low Fat,0.13,Dairy,74.04,OUT019,1985,Small,Tier 1,Grocery Store,75.24
FDH57,10.895,Low Fat,0.04,Fruits and Vegetables,133.63,OUT046,1997,Small,Tier 1,Supermarket Type1,1581.94
NCT41,,Low Fat,0.1,Health and Hygiene,151.3,OUT019,1985,Small,Tier 1,Grocery Store,151.8
FDO11,,Regular,0.03,Breads,248.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,3486.13
NCP42,8.51,Low Fat,0.02,Household,195.25,OUT017,2007,,Tier 2,Supermarket Type1,4262.45
FDN09,14.15,Low Fat,0.06,Snack Foods,243.98,OUT010,1998,,Tier 3,Grocery Store,731.05
FDP32,6.65,Low Fat,0.09,Fruits and Vegetables,128.87,OUT035,2004,Small,Tier 2,Supermarket Type1,1398.85
FDV57,15.25,Regular,0.07,Snack Foods,177.97,OUT049,1999,Medium,Tier 1,Supermarket Type1,2336.96
FDR56,,Regular,0.1,Fruits and Vegetables,196.88,OUT027,1985,Medium,Tier 3,Supermarket Type3,7094.76
FDA40,16,Regular,0.1,Frozen Foods,87.49,OUT035,2004,Small,Tier 2,Supermarket Type1,1054.63
NCG42,19.2,Low Fat,0,Household,127.83,OUT045,2002,,Tier 2,Supermarket Type1,1298.31
NCK54,12.15,Low Fat,0,Household,117.82,OUT017,2007,,Tier 2,Supermarket Type1,2330.3
FDE16,8.895,Low Fat,0.03,Frozen Foods,209,OUT049,1999,Medium,Tier 1,Supermarket Type1,4584.7
FDB15,10.895,Low Fat,0.23,Dairy,263.46,OUT010,1998,,Tier 3,Grocery Store,527.31
FDC40,16,Regular,0.07,Dairy,76.2,OUT017,2007,,Tier 2,Supermarket Type1,1869.57
FDE53,,Low Fat,0.03,Frozen Foods,106.93,OUT027,1985,Medium,Tier 3,Supermarket Type3,2876.26
FDK24,9.195,Low Fat,0,Baking Goods,43.67,OUT018,2009,Medium,Tier 3,Supermarket Type2,407.47
FDW31,11.35,Regular,0.04,Fruits and Vegetables,201.07,OUT018,2009,Medium,Tier 3,Supermarket Type2,2189.82
NCM07,9.395,Low Fat,0.04,Others,82.49,OUT035,2004,Small,Tier 2,Supermarket Type1,2013.38
DRN36,,Low Fat,0.09,Soft Drinks,95.98,OUT019,1985,Small,Tier 1,Grocery Store,95.88
FDQ37,20.75,Low Fat,0.15,Breakfast,192.85,OUT010,1998,,Tier 3,Grocery Store,774.99
FDK28,5.695,Low Fat,0.07,Frozen Foods,258.56,OUT018,2009,Medium,Tier 3,Supermarket Type2,4380.3
FDL48,19.35,Regular,0.08,Baking Goods,49.2,OUT013,1987,High,Tier 3,Supermarket Type1,729.05
DRL23,18.35,Low Fat,0.02,Hard Drinks,106.69,OUT045,2002,,Tier 2,Supermarket Type1,1393.52
DRD37,9.8,Low Fat,0.01,Soft Drinks,46.51,OUT018,2009,Medium,Tier 3,Supermarket Type2,372.85
FDZ47,,Regular,0.08,Baking Goods,99.9,OUT027,1985,Medium,Tier 3,Supermarket Type3,3273.74
NCJ54,,Low Fat,0.06,Household,231.76,OUT027,1985,Medium,Tier 3,Supermarket Type3,5344.38
FDD08,8.3,Low Fat,0.04,Fruits and Vegetables,38.95,OUT013,1987,High,Tier 3,Supermarket Type1,721.06
NCN18,8.895,Low Fat,0.13,Household,112.75,OUT045,2002,,Tier 2,Supermarket Type1,3467.49
NCI29,8.6,Low Fat,0.03,Health and Hygiene,140.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,283.63
NCE06,,Low Fat,0.16,Household,160.29,OUT019,1985,Small,Tier 1,Grocery Store,323.58
FDU52,7.56,Low Fat,0.06,Frozen Foods,157.26,OUT045,2002,,Tier 2,Supermarket Type1,2503.41
FDN16,12.6,Regular,0.06,Frozen Foods,104.9,OUT013,1987,High,Tier 3,Supermarket Type1,1960.78
NCM55,15.6,Low Fat,0.11,Others,184.79,OUT010,1998,,Tier 3,Grocery Store,370.18
FDR49,8.71,Low Fat,0.23,Canned,49.54,OUT010,1998,,Tier 3,Grocery Store,95.88
FDA16,6.695,Low Fat,0.03,Frozen Foods,221.95,OUT035,2004,Small,Tier 2,Supermarket Type1,2210.46
FDO19,,Regular,0.02,Fruits and Vegetables,47.4,OUT027,1985,Medium,Tier 3,Supermarket Type3,2187.15
FDO04,16.6,Low Fat,0.03,Frozen Foods,57.26,OUT046,1997,Small,Tier 1,Supermarket Type1,1049.97
NCL19,15.35,Low Fat,0.02,Others,145.05,OUT035,2004,Small,Tier 2,Supermarket Type1,2719.79
FDR60,14.3,Low Fat,0.13,Baking Goods,78.63,OUT017,2007,,Tier 2,Supermarket Type1,231.7
FDV37,,Regular,0.08,Canned,195.84,OUT027,1985,Medium,Tier 3,Supermarket Type3,5734.54
FDG53,10,Low Fat,0.05,Frozen Foods,138.72,OUT013,1987,High,Tier 3,Supermarket Type1,1398.18
DRG01,14.8,Low Fat,0.05,Soft Drinks,76.47,OUT035,2004,Small,Tier 2,Supermarket Type1,1531.34
FDB38,,Regular,0,Canned,160.69,OUT019,1985,Small,Tier 1,Grocery Store,319.58
FDI27,8.71,Regular,0.05,Dairy,43.87,OUT049,1999,Medium,Tier 1,Supermarket Type1,633.84
FDD29,12.15,Low Fat,0.03,Frozen Foods,252.07,OUT010,1998,,Tier 3,Grocery Store,1014.68
NCR41,17.85,Low Fat,0.02,Health and Hygiene,97.01,OUT045,2002,,Tier 2,Supermarket Type1,2094.61
FDW44,9.5,Regular,0.04,Fruits and Vegetables,171.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,2386.23
FDU21,11.8,Regular,0.08,Snack Foods,34.76,OUT035,2004,Small,Tier 2,Supermarket Type1,780.98
FDI14,14.1,Low Fat,0.09,Canned,139.85,OUT046,1997,Small,Tier 1,Supermarket Type1,1693.8
FDW50,,Low Fat,0.13,Dairy,168.42,OUT019,1985,Small,Tier 1,Grocery Store,334.23
FDT31,19.75,Low Fat,0.01,Fruits and Vegetables,190.69,OUT017,2007,,Tier 2,Supermarket Type1,4916.27
FDJ14,10.3,Regular,0.05,Canned,78.7,OUT017,2007,,Tier 2,Supermarket Type1,1757.71
